Key,Description,Standard
SAY.Flowchart.618.Mimi,,"...But even if I did, what's wrong with that? I gift them eternal life through my art! {wi}You wouldn’t get it, Domo! You never do!"
SAY.Flowchart.619.Domo,,"What?? No... you take lives! All you do is take, take, take! Because you're selfish and arrogant and--"
SAY.Flowchart.620.Mimi,,"That's not true! You’re the one who has no passion, nothing to your name, no source of income yet you still keep spending my money on those stupid little trinkets--"
SAY.Flowchart.621.Domo,,They were for you! You wouldn’t be able to do your creepy animal thing without me!!
SAY.Flowchart.622.,,{i}A wisp of a laugh slips from Domo.
SAY.Flowchart.623.Domo,,I should’ve known you were never grateful for me! After what you did to me--
SAY.Flowchart.624.Mimi,,Stop!! I AM grateful for you!!!
SAY.Flowchart.625.Domo,,{s=10}Oh yeah...? {/s}Then look me in the eye and tell me why you--
SAY.Flowchart.626.Mimi,,SHUT UP!!
SAY.Flowchart.924.,,{i}Anger rages inside of me. Her ignorance. Her disobedience. I cannot take it anymore and-
CHARACTER.Domo,,Domo
CHARACTER.Mimi,,Mimi
CHARACTER.Customer,,Customer
