Key,Description,Standard,fr
SAY.Flowchart.202.Domo,,"Wait, don’t worry, I already washed our stuff and hung it up, I just thought I’d let you know.","Attends, ne t'inquiète pas, j'ai déjà lavé et étendu nos affaires, je voulais juste te prévenir."
SAY.Flowchart.203.Mimi,,"...Oh, phew! That’s perfect.","...Oh, pfiou ! C'est parfait."
SAY.Flowchart.205.Domo,,"Okay, see you soon then.{wc}Miss you. Please come back soon.","D'accord, à plus tard alors.{wc}Tu me manques. S'il te plaît, revient vite."
SAY.Flowchart.210.Mimi,,"This looks enough like a polar bear, right? {wi}Wouldn’t that just be perfect if, you know, this was a world created with the theme “polarity”?","Ça ressemble suffisamment à un ours polaire, non ? {wi}Ce serait parfait, tu ne trouves pas, si, je sais pas, ce monde avait été créé autour du thème de la “polarité” ?
"
SAY.Flowchart.216.Mimi,,"What is it this time, Domo? ","Qu'est-ce qu'il y a cette fois, Domo ? "
SAY.Flowchart.218.Domo,,I just... haven’t heard from you in two hours. I wanted to hear your voice again.,C’est juste que… je n’ai pas eu de nouvelles depuis deux heures. Je voulais entendre ta voix à nouveau.
SAY.Flowchart.215.Mimi,,"We’re in the same house, you know! If you really miss me that much, you could come up and visit me.{wc}It might be nice to have the extra set of hands around here to help, anyway.","On est dans la même maison, tu sais ! Si je te manque à ce point, tu pourrais juste descendre et venir me voir.{wc}En plus, je ne refuserais une autre paire de mains pour m'aider."
SAY.Flowchart.213.Domo,,...,...
SAY.Flowchart.219.,,"{i}The other end of the line goes quiet, aside from what sounds like a sigh.","{i}L'autre bout de la ligne devient silencieuse, à part pour ce qui ressemble à un soupir."
SAY.Flowchart.223.Mimi,,"Well, if you don’t have anything else to say, can I get back to work?","Eh bien, si tu n'as rien d'autre à dire, est-ce que je peux retourner travailler ?"
SAY.Flowchart.221.Domo,,"Fine. Just -- don’t take so long to come back tonight, please. I get so lonely without you...","D'accord. Juste -- ne rentre pas trop tard ce soir, s'il te plaît. Je me sens si seule sans toi..."
SAY.Flowchart.222.,,{i}Normally I’d be flattered and giddy at her admitting how much she misses me. But right now I’m just so focused on my work that it’s more annoying than anything.,"{i}Normalement, je serais flattée et folle de joie qu'elle admette que je lui manque autant. Mais en ce moment, je suis juste tellement concentrée sur mon travail que c'est plus ennuyant qu'autre chose."
SAY.Flowchart.220.Mimi,,"No guarantees! Sorry, Domo.","C'est pas sûr ! Désolée, Domo."
SAY.Flowchart.225.Mimi,,Love you!,Je t'aime !
SAY.Flowchart.226.Domo,,"...Love you, too.",...Je t'aime aussi.
SAY.Flowchart.460.Mimi,,"That was a really complicated cat! It turned out well. It reminds me of Domo though, the black cat to my white bunny!","C'était un chat très compliqué ! Mais le résultat est plutôt réussi. Il me fait penser à Domo, le chat noir de mon lapin blanc !"
SAY.Flowchart.936.Mimi,,"This looks enough like a polar bear, right? {wi}Wouldn’t that just be perfect if, you know, this was a world created with the theme “polarity”?","Ça ressemble suffisamment à un ours polaire, non ? {wi}Ce serait parfait, tu ne trouves pas, si, je sais pas, ce monde avait été créé autour du thème de la “polarité” ?"
CHARACTER.Customer,,Customer,Cliente
CHARACTER.Domo,,Domo,Domo
CHARACTER.Mimi,,Mimi,Mimi
