Key,Description,Standard,fr
SAY.Flowchart.107.Domo,,It just makes me... uncomfortable. I wish that someday you’d stop.,Ça me rend juste... mal à l'aise. J'aimerais que tu arrêtes un jour.
SAY.Flowchart.108.Mimi,,"I do it all for you, anyway. We need the money!","Je fais tout ça pour toi. On a besoin de cette argent !"
SAY.Flowchart.109.Domo,,"I thought it was fine at first -- you know I -- I didn’t gift you that cat sewing tool, pin cushion, needles, or everything else so you can use it like this.","Je pensais que ça allait au début -- tu sais, je -- je ne t'ai pas offert tout ce matériel de couture pour que tu l'utilise comme ça."
SAY.Flowchart.110.Mimi,,I don’t know why you keep bringing it up. It’s unhealthy for you to keep focusing on something so useless when you can come downstairs and see for yourself how it is.,Je ne comprends pas pourquoi tu insistes sur ce sujet. Ce n'est pas bon pour toi de rester fixée sur quelque chose d'aussi inutile quand tu peux juste descendre et voir par toi-même comment c'est.
SAY.Flowchart.113.Domo,,"But you know the creepy animals everywhere are the -- the very reason I can’t go down to your shop.{wc}I could visit you more if you weren’t... I don’t know, working with d-dead animals!","Mais tu sais que les animaux sinistres un peu partout sont l'-- l'exacte raison de pourquoi je ne peux pas descendre dans ton atelier.{wc}Je pourrais venir te voir plus souvent si tu... je sais pas, travaillé pas avec des a-animaux morts !"
SAY.Flowchart.114.,,{i}...,{i}...
SAY.Flowchart.115.Mimi,,"I don’t understand why you have to be so negative about it. Besides, I'm not killing the animals, and it makes my customers happy.","Je ne comprends pas pourquoi tu es si négative. En plus, je ne tue pas les animaux, et ça rend mes clients heureux."
SAY.Flowchart.117.,,"{i}Domo just sighs, and the conversation naturally comes to a close. The air suffocates us with neither of our gazes meeting the other.","{i}Domo soupire, et la conversation se termine. L'atmoshpère est pesante alors qu'on évite de croiser nos regards."
SAY.Flowchart.118.Domo,,"Come on, let’s go watch TV, okay?{wc}It’s almost 9:00PM and your favorite show is about to air.{wc}“I am the pretty Mimi, who fights for love and for justice! I am Mailor Soon! And now in the name of the Moon, I'll punish you...!”{wi} Yeah?","Allez, regardons la télé, d'accord ?{wc}Il est presque 21 heures et ton émission préférée va bientôt commencer.{wc}“Je suis la belle Mimi, qui se bat pour l'amour et la justice ! Je suis Mailor Soon ! Et maintenant, au nom de la Lune, je vais te punir...!”{wi} Alors ?"
SAY.Flowchart.120.Mimi,,"Haha, okay, that sounds good to me.","Haha, d'accord, ça me va."
SAY.Flowchart.124.,,{i}I try not to think much of the minor disagreement as the night passes to the next morning.,{i}J'essaie de ne pas trop penser à notre petite dispute alors que la nuit laisse place au matin.
SAY.Flowchart.125.Domo,,By the way... The neighbor next door came knocking an hour ago while you were sleeping.,D'ailleurs... Le voisin d'à côté est venu toquer il y a environ une heure alors que tu dormais.
SAY.Flowchart.141.Mimi,,What did they want?,Qu'est-ce qu'il voulait ?
SAY.Flowchart.142.Domo,,"I don’t know... Something about a smell?{wc}They weren’t very clear about it, but they insisted that it needed to be removed...","Je sais pas... Quelque chose à propos d'une odeur ?{wc}Ce n'était pas très clair, mais il a insisté qu'il fallait la faire disparaître..."
SAY.Flowchart.143.Mimi,,"A smell? I don’t smell anything. Maybe they're just trying to be an asshole, or they’ve got the wrong place. Just ignore it.","Une odeur ? Je ne sens rien de particulier. Peut-être qu'il essaie juste d'être un connard, ou qu'il s'est trompé d'endroit. Juste ignore-le."
SAY.Flowchart.144.Domo,,Okay.,D'accord.
SAY.Flowchart.146.Mimi,,"Well, I'm off to work! See you later! Love you!","Bon, je vais travailler! À tout à l'heure ! Je t'aime !"
CHARACTER.Domo,,Domo,Domo
CHARACTER.Mimi,,Mimi,Mimi
CHARACTER.Customer,,Customer,Cliente
